Gene	Synonmys	all	aml	anal	rectal	colon	bladder	uterine	bone	breast	cns	esophageal	gastric	kaposi	melanoma	ovarian	cervical	mds	nhl	pancreas	nsclc	sclc	hnscc
A1CF	29974;A1CF;ENSG00000148584;Q9NQ94	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABI1	10006;ABI1;ENSG00000136754;Q8IZP0;SSH3BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	25;ABL;ABL1;ENSG00000097007;P00519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL2	27;ABL2;ABLL;ENSG00000143322;P42684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR3	A8K6J4;ACKR3;CMKOR1;CXCR7;ENSG00000144476;P25106;Q53RV4;Q8NE10;Q92938;Q92986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSL3	2181;ACSL3;ENSG00000123983;FACL3;O95573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSL6	23305;ACSL6;ENSG00000164398;FACL6;Q9UKU0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1	90;ACVR1;ACVRLK2;ENSG00000115170;Q04771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR2A	92;ACVR2;ACVR2A;ENSG00000121989;P27037	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
AFF1	4299;AFF1;ENSG00000172493;MLLT2;P51825;PBM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFF3	3899;AFF3;ENSG00000144218;LAF4;P51826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFF4	27125;AFF4;ENSG00000072364;Q9UHB7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP9	10142;AKAP350;AKAP450;AKAP9;CG+AC0-NAP;ENSG00000127914;HYPERION;KIAA0803;MU+AC0-RMS+AC0-40+AF8-16A;PRKA9;Q99996;YOTIAO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKT1	207;AKT1;ENSG00000142208;P31749	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AKT2	208;AKT2;ENSG00000105221;P31751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
AKT3	10000;AKT3;ENSG00000117020;Q9Y243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH2	217;ALDH2;ENSG00000111275;P05091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALK	238;ALK;ENSG00000171094;Q9UM73	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AMER1	139285;AMER1;ENSG00000184675;FAM123B;Q5JTC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK1	286;ANK;ANK1;ENSG00000029534;P16157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APC	324;APC;ENSG00000134982;P25054	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
APOBEC3B	9582;APOBEC3B;ENSG00000179750;Q9UH17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AR	367;AR;DHTR;ENSG00000169083;SBMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAF	369;ARAF;ARAF1;ENSG00000078061;P10398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP26	23092;ARHGAP26;ENSG00000145819;Q9UNA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP5	394;ARHGAP5;ENSG00000100852;GFI2;Q13017	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF10	9639;ARHGEF10;ENSG00000104728;O15013	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF10L	55160;ARHGEF10L;ENSG00000074964;Q9HCE6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ARHGEF12	23365;ARHGEF12;ENSG00000196914;Q9NZN5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID1A	8289;ARID1A;C1orf4;ENSG00000117713;O14497;SMARCF1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ARID1B	57492;ARID1B;ENSG00000049618	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ARID2	196528;ARID2;ENSG00000189079;Q68CP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARNT	405;ARNT;ENSG00000143437;P27540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPSCR1	79058;ASPSCR1;ENSG00000169696;Q9BZE9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASXL1	171023;ASXL1;ENSG00000171456;Q8IXJ9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASXL2	55252;ASXL2;ENSG00000143970;Q76L83	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATF1	466;ATF1;ENSG00000123268;P18846	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATIC	471;ATIC;ENSG00000138363;P31939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATM	472;ATA;ATC;ATD;ATDC;ATM;ENSG00000149311;Q13315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1A1	476;ATP1A1;ENSG00000163399;P05023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP2B3	492;ATP2B3;CLA2;ENSG00000067842;Q16720;SCAX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATR	545;ATR;ENSG00000175054;Q13535	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ATRX	546;ATRX;ENSG00000085224;JMS;MRX52;P46100;RAD54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AXIN1	8312;AXIN1;ENSG00000103126;O15169	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AXIN2	8313;AXIN2;ENSG00000168646;Q9Y2T1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B2M	567;B2M;ENSG00000166710;P61769	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BAP1	8314;BAP1;ENSG00000163930;Q92560	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
BARD1	580;BARD1;ENSG00000138376;Q99728	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BAX	581;BAX;ENSG00000087088;Q07812	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAZ1A	11177;BAZ1A;ENSG00000198604;Q9NRL2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL10	8915;BCL10;ENSG00000142867;O95999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
