Gene	CGC	Publications	Cancer type frequency per number of publications
PTEN	Yes	31	"Liver Cancer":6%;"Blood Cancer":32%;"Breast Cancer":9%;Mixed:3%;"Nervous System Cancer":16%;"Pancreatic Cancer":6%;"Colorectal Cancer":12%;Sarcoma:3%;"Skin Cancer":6%;"Gastric Cancer":3%;
CREBBP	Yes	22	"Liver Cancer":18%;"Blood Cancer":22%;"Lung Cancer":4%;"Nervous System Cancer":22%;"Pancreatic Cancer":9%;"Colorectal Cancer":13%;"Skin Cancer":4%;"Gastric Cancer":4%;
GSK3B	No	20	"Liver Cancer":20%;"Lung Cancer":5%;"Blood Cancer":5%;"Nervous System Cancer":20%;"Pancreatic Cancer":10%;"Colorectal Cancer":20%;Sarcoma:5%;"Skin Cancer":5%;"Breast Cancer":5%;"Gastric Cancer":5%;
KDM6A	Yes	20	"Liver Cancer":15%;"Blood Cancer":30%;"Nervous System Cancer":10%;"Pancreatic Cancer":10%;"Colorectal Cancer":15%;Sarcoma:5%;"Skin Cancer":5%;"Breast Cancer":5%;"Gastric Cancer":5%;
DYRK1A	No	18	"Liver Cancer":16%;"Blood Cancer":16%;"Nervous System Cancer":16%;"Pancreatic Cancer":16%;"Colorectal Cancer":16%;"Skin Cancer":5%;"Breast Cancer":5%;"Gastric Cancer":5%;
WAC	No	20	"Liver Cancer":10%;"Blood Cancer":10%;"Breast Cancer":10%;"Lung Cancer":5%;"Nervous System Cancer":15%;"Colorectal Cancer":25%;Sarcoma:5%;"Pancreatic Cancer":5%;"Skin Cancer":10%;"Gastric Cancer":5%;
ZMIZ1	No	18	"Liver Cancer":11%;"Blood Cancer":38%;Mixed:5%;"Colorectal Cancer":11%;Sarcoma:5%;"Pancreatic Cancer":5%;"Skin Cancer":5%;"Nervous System Cancer":11%;"Gastric Cancer":5%;
NF1	Yes	18	"Liver Cancer":11%;"Blood Cancer":44%;"Breast Cancer":16%;Mixed:5%;"Nervous System Cancer":11%;Sarcoma:5%;"Gastric Cancer":5%;
PICALM	Yes	17	"Liver Cancer":23%;"Blood Cancer":17%;"Colorectal Cancer":23%;Sarcoma:5%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;"Gastric Cancer":5%;
RAF1	Yes	18	"Liver Cancer":11%;"Blood Cancer":44%;"Colorectal Cancer":16%;Sarcoma:5%;"Pancreatic Cancer":5%;"Nervous System Cancer":5%;"Breast Cancer":5%;"Gastric Cancer":5%;
SFI1	No	20	"Breast Cancer":5%;"Blood Cancer":35%;"Liver Cancer":15%;"Nervous System Cancer":10%;"Colorectal Cancer":25%;"Skin Cancer":5%;"Gastric Cancer":5%;
FOXP1	Yes	17	"Liver Cancer":11%;"Blood Cancer":52%;Mixed:5%;"Colorectal Cancer":11%;"Pancreatic Cancer":11%;"Gastric Cancer":5%;
SETD5	No	17	"Liver Cancer":17%;"Blood Cancer":17%;"Nervous System Cancer":11%;"Pancreatic Cancer":17%;"Colorectal Cancer":23%;"Breast Cancer":5%;"Gastric Cancer":5%;
ERBIN	No	16	"Liver Cancer":12%;"Breast Cancer":12%;"Blood Cancer":6%;"Nervous System Cancer":18%;"Pancreatic Cancer":12%;"Colorectal Cancer":18%;Sarcoma:6%;"Skin Cancer":6%;"Gastric Cancer":6%;
PPP1R12A	No	17	"Liver Cancer":23%;"Breast Cancer":11%;"Blood Cancer":11%;"Pancreatic Cancer":11%;"Colorectal Cancer":23%;"Skin Cancer":5%;"Nervous System Cancer":5%;"Gastric Cancer":5%;
TCF12	Yes	17	"Liver Cancer":5%;"Breast Cancer":11%;"Blood Cancer":29%;"Pancreatic Cancer":11%;"Colorectal Cancer":23%;Sarcoma:5%;"Skin Cancer":5%;"Nervous System Cancer":5%;
BRD4	Yes	16	"Liver Cancer":18%;"Blood Cancer":18%;"Nervous System Cancer":18%;"Colorectal Cancer":18%;Sarcoma:6%;"Pancreatic Cancer":6%;"Breast Cancer":6%;"Gastric Cancer":6%;
PPP6R3	No	14	"Liver Cancer":21%;"Blood Cancer":7%;"Nervous System Cancer":14%;"Pancreatic Cancer":14%;"Colorectal Cancer":21%;Sarcoma:7%;"Skin Cancer":7%;"Gastric Cancer":7%;
PUM1	No	16	"Liver Cancer":18%;"Breast Cancer":18%;"Blood Cancer":6%;"Nervous System Cancer":12%;"Colorectal Cancer":25%;"Pancreatic Cancer":6%;"Skin Cancer":6%;"Gastric Cancer":6%;
TAOK1	No	15	"Liver Cancer":20%;"Breast Cancer":13%;"Blood Cancer":6%;"Nervous System Cancer":13%;"Colorectal Cancer":20%;Sarcoma:6%;"Pancreatic Cancer":6%;"Skin Cancer":6%;"Gastric Cancer":6%;
ANKRD11	No	15	"Liver Cancer":20%;"Blood Cancer":6%;"Nervous System Cancer":13%;"Pancreatic Cancer":6%;"Colorectal Cancer":26%;"Skin Cancer":6%;"Breast Cancer":13%;"Gastric Cancer":6%;
CTNNA1	No	15	"Liver Cancer":20%;"Lung Cancer":6%;"Blood Cancer":6%;"Nervous System Cancer":13%;"Pancreatic Cancer":13%;"Colorectal Cancer":20%;"Skin Cancer":6%;"Breast Cancer":6%;"Gastric Cancer":6%;
KAT6A	Yes	15	"Liver Cancer":13%;"Breast Cancer":13%;"Blood Cancer":6%;"Nervous System Cancer":20%;"Pancreatic Cancer":13%;"Colorectal Cancer":26%;"Gastric Cancer":6%;
SETD2	Yes	16	"Liver Cancer":12%;"Blood Cancer":31%;"Breast Cancer":6%;"Lung Cancer":6%;"Colorectal Cancer":18%;"Pancreatic Cancer":6%;"Skin Cancer":6%;"Nervous System Cancer":12%;
STAT5B	Yes	15	"Liver Cancer":13%;"Blood Cancer":60%;"Breast Cancer":6%;"Colorectal Cancer":6%;"Skin Cancer":6%;"Nervous System Cancer":6%;
AMBRA1	No	14	"Liver Cancer":14%;"Blood Cancer":21%;"Breast Cancer":7%;"Colorectal Cancer":21%;Sarcoma:7%;"Pancreatic Cancer":7%;"Skin Cancer":7%;"Nervous System Cancer":7%;"Gastric Cancer":7%;
ARIH1	No	14	"Liver Cancer":21%;"Blood Cancer":7%;"Pancreatic Cancer":14%;"Colorectal Cancer":21%;Sarcoma:7%;"Skin Cancer":14%;"Nervous System Cancer":7%;"Breast Cancer":7%;
CDK13	No	13	"Liver Cancer":15%;"Breast Cancer":7%;"Lung Cancer":7%;"Blood Cancer":15%;"Nervous System Cancer":15%;"Pancreatic Cancer":15%;"Colorectal Cancer":15%;"Gastric Cancer":7%;
CLTC	Yes	15	"Liver Cancer":13%;"Blood Cancer":13%;"Pancreatic Cancer":20%;"Colorectal Cancer":26%;Sarcoma:6%;"Nervous System Cancer":6%;"Breast Cancer":6%;"Gastric Cancer":6%;
JAK1	Yes	15	"Liver Cancer":13%;"Blood Cancer":60%;"Colorectal Cancer":13%;"Pancreatic Cancer":6%;"Nervous System Cancer":6%;
KANSL1	No	16	"Liver Cancer":12%;"Breast Cancer":12%;"Blood Cancer":12%;"Nervous System Cancer":12%;"Pancreatic Cancer":12%;"Colorectal Cancer":18%;"Skin Cancer":12%;"Gastric Cancer":6%;
LARP4B	Yes	14	"Liver Cancer":14%;"Blood Cancer":7%;"Nervous System Cancer":21%;"Colorectal Cancer":21%;"Pancreatic Cancer":7%;"Skin Cancer":14%;"Breast Cancer":7%;"Gastric Cancer":7%;
RAB2A	No	14	"Liver Cancer":14%;"Blood Cancer":14%;"Nervous System Cancer":14%;"Pancreatic Cancer":14%;"Colorectal Cancer":28%;"Breast Cancer":7%;"Gastric Cancer":7%;
RREB1	No	14	"Liver Cancer":14%;"Blood Cancer":35%;"Colorectal Cancer":28%;"Pancreatic Cancer":7%;"Nervous System Cancer":7%;"Gastric Cancer":7%;
ZNF148	No	15	"Liver Cancer":13%;"Lung Cancer":6%;"Nervous System Cancer":20%;"Blood Cancer":6%;"Pancreatic Cancer":13%;"Colorectal Cancer":20%;"Skin Cancer":6%;"Breast Cancer":6%;"Gastric Cancer":6%;
ASH1L	No	15	"Liver Cancer":20%;"Breast Cancer":13%;"Blood Cancer":20%;"Pancreatic Cancer":13%;"Colorectal Cancer":20%;"Skin Cancer":6%;"Gastric Cancer":6%;
CNOT1	No	15	"Liver Cancer":13%;"Breast Cancer":13%;"Lung Cancer":6%;"Blood Cancer":13%;"Nervous System Cancer":13%;"Colorectal Cancer":26%;"Pancreatic Cancer":6%;"Gastric Cancer":6%;
CNOT2	No	14	"Liver Cancer":21%;"Lung Cancer":7%;"Blood Cancer":14%;"Nervous System Cancer":21%;"Colorectal Cancer":28%;"Gastric Cancer":7%;
FBXW7	Yes	14	"Liver Cancer":14%;"Breast Cancer":14%;Mixed:7%;"Blood Cancer":21%;"Colorectal Cancer":28%;"Pancreatic Cancer":7%;"Gastric Cancer":7%;
KMT2C	Yes	13	"Liver Cancer":15%;"Blood Cancer":23%;"Pancreatic Cancer":15%;"Colorectal Cancer":23%;"Nervous System Cancer":7%;"Breast Cancer":7%;"Gastric Cancer":7%;
MBNL1	No	14	"Liver Cancer":14%;"Blood Cancer":14%;"Nervous System Cancer":14%;"Colorectal Cancer":28%;"Pancreatic Cancer":7%;"Skin Cancer":7%;"Breast Cancer":7%;"Gastric Cancer":7%;
MLLT10	Yes	14	"Liver Cancer":14%;"Lung Cancer":7%;"Blood Cancer":7%;"Nervous System Cancer":14%;"Pancreatic Cancer":14%;"Colorectal Cancer":21%;Sarcoma:7%;"Skin Cancer":7%;"Gastric Cancer":7%;
NFIB	Yes	13	"Liver Cancer":30%;"Nervous System Cancer":15%;"Pancreatic Cancer":15%;"Colorectal Cancer":23%;"Breast Cancer":15%;
NR3C1	No	14	"Liver Cancer":21%;"Blood Cancer":35%;"Colorectal Cancer":21%;"Pancreatic Cancer":7%;"Nervous System Cancer":7%;"Gastric Cancer":7%;
NSD1	Yes	13	"Liver Cancer":15%;"Blood Cancer":7%;"Pancreatic Cancer":15%;"Colorectal Cancer":38%;"Skin Cancer":7%;"Nervous System Cancer":7%;"Gastric Cancer":7%;
PARD3	No	14	"Liver Cancer":14%;"Breast Cancer":14%;"Nervous System Cancer":14%;"Colorectal Cancer":21%;"Pancreatic Cancer":7%;"Skin Cancer":14%;"Gastric Cancer":7%;"Blood Cancer":7%;
RERE	No	13	"Liver Cancer":15%;"Breast Cancer":15%;"Blood Cancer":7%;"Nervous System Cancer":7%;"Pancreatic Cancer":15%;"Colorectal Cancer":23%;"Skin Cancer":7%;"Gastric Cancer":7%;
TNPO1	No	14	"Liver Cancer":14%;"Lung Cancer":7%;"Blood Cancer":7%;"Pancreatic Cancer":14%;"Colorectal Cancer":28%;"Nervous System Cancer":14%;"Breast Cancer":7%;"Gastric Cancer":7%;
TRIM33	Yes	14	"Liver Cancer":21%;"Breast Cancer":14%;"Nervous System Cancer":7%;"Blood Cancer":14%;"Colorectal Cancer":21%;"Pancreatic Cancer":14%;"Skin Cancer":7%;
WDR33	No	13	"Liver Cancer":15%;"Blood Cancer":15%;"Colorectal Cancer":23%;Sarcoma:7%;"Pancreatic Cancer":7%;"Skin Cancer":7%;"Breast Cancer":7%;"Gastric Cancer":7%;"Nervous System Cancer":7%;
WNK1	No	13	"Liver Cancer":15%;"Breast Cancer":7%;"Blood Cancer":15%;"Colorectal Cancer":23%;Sarcoma:7%;"Pancreatic Cancer":15%;"Nervous System Cancer":7%;"Gastric Cancer":7%;
APP	No	11	"Liver Cancer":18%;"Colorectal Cancer":27%;Sarcoma:9%;"Pancreatic Cancer":9%;"Nervous System Cancer":18%;"Breast Cancer":9%;"Gastric Cancer":9%;
ARID1B	Yes	12	"Liver Cancer":16%;"Blood Cancer":8%;"Nervous System Cancer":33%;"Colorectal Cancer":25%;"Pancreatic Cancer":8%;"Gastric Cancer":8%;
CSNK1A1	No	13	"Liver Cancer":15%;"Blood Cancer":7%;"Colorectal Cancer":30%;"Pancreatic Cancer":15%;"Skin Cancer":7%;"Nervous System Cancer":7%;"Breast Cancer":7%;"Gastric Cancer":7%;
ELAVL1	No	13	"Liver Cancer":23%;"Blood Cancer":7%;"Colorectal Cancer":30%;Sarcoma:7%;"Pancreatic Cancer":7%;"Nervous System Cancer":15%;"Gastric Cancer":7%;
EPC1	No	12	"Liver Cancer":25%;"Blood Cancer":8%;"Colorectal Cancer":16%;"Pancreatic Cancer":16%;"Skin Cancer":16%;"Nervous System Cancer":8%;"Gastric Cancer":8%;
EPC2	No	13	"Liver Cancer":15%;"Blood Cancer":15%;"Nervous System Cancer":23%;"Colorectal Cancer":23%;"Pancreatic Cancer":7%;"Breast Cancer":7%;"Gastric Cancer":7%;
FAM120A	No	12	"Liver Cancer":25%;"Blood Cancer":16%;"Pancreatic Cancer":16%;"Colorectal Cancer":25%;"Nervous System Cancer":8%;"Gastric Cancer":8%;
FOXJ3	No	13	"Liver Cancer":23%;"Breast Cancer":7%;"Blood Cancer":15%;"Nervous System Cancer":23%;"Colorectal Cancer":23%;"Pancreatic Cancer":7%;
KMT2E	No	12	"Liver Cancer":16%;"Blood Cancer":8%;"Nervous System Cancer":16%;"Pancreatic Cancer":16%;"Colorectal Cancer":25%;"Breast Cancer":8%;"Gastric Cancer":8%;
NFIA	No	13	"Liver Cancer":15%;"Nervous System Cancer":30%;"Colorectal Cancer":23%;"Pancreatic Cancer":7%;"Skin Cancer":7%;"Breast Cancer":7%;"Gastric Cancer":7%;
NOTCH1	Yes	14	"Blood Cancer":64%;"Colorectal Cancer":21%;"Skin Cancer":7%;"Breast Cancer":7%;
PPP2R2A	No	11	"Liver Cancer":18%;"Blood Cancer":9%;"Pancreatic Cancer":18%;"Colorectal Cancer":27%;"Skin Cancer":9%;"Nervous System Cancer":9%;"Gastric Cancer":9%;
PPP2R5E	No	13	"Liver Cancer":23%;"Nervous System Cancer":23%;"Blood Cancer":7%;"Colorectal Cancer":23%;"Pancreatic Cancer":7%;"Breast Cancer":7%;"Gastric Cancer":7%;
PUM2	No	13	"Liver Cancer":15%;"Blood Cancer":7%;"Nervous System Cancer":15%;"Pancreatic Cancer":15%;"Colorectal Cancer":23%;"Skin Cancer":7%;"Breast Cancer":7%;"Gastric Cancer":7%;
RALY	No	12	"Liver Cancer":16%;"Blood Cancer":8%;"Colorectal Cancer":25%;Sarcoma:8%;"Pancreatic Cancer":8%;"Skin Cancer":8%;"Nervous System Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;
RASA1	No	12	"Liver Cancer":16%;"Breast Cancer":25%;"Blood Cancer":8%;"Colorectal Cancer":16%;"Pancreatic Cancer":8%;"Skin Cancer":8%;"Nervous System Cancer":8%;"Gastric Cancer":8%;
SMAD4	Yes	13	"Liver Cancer":15%;"Lung Cancer":7%;"Pancreatic Cancer":15%;"Colorectal Cancer":30%;"Nervous System Cancer":15%;"Breast Cancer":7%;"Gastric Cancer":7%;
SPTBN1	No	13	"Liver Cancer":23%;"Lung Cancer":7%;"Blood Cancer":7%;"Colorectal Cancer":15%;"Pancreatic Cancer":15%;"Skin Cancer":7%;"Nervous System Cancer":7%;"Breast Cancer":7%;"Gastric Cancer":7%;
ANKRD17	No	12	"Liver Cancer":25%;"Blood Cancer":8%;"Nervous System Cancer":16%;"Colorectal Cancer":25%;Sarcoma:8%;"Pancreatic Cancer":8%;"Gastric Cancer":8%;
ARHGAP35	No	12	"Liver Cancer":25%;"Breast Cancer":16%;"Blood Cancer":8%;"Colorectal Cancer":16%;Sarcoma:8%;"Skin Cancer":8%;"Nervous System Cancer":8%;"Gastric Cancer":8%;
ARHGAP5	Yes	12	"Liver Cancer":16%;"Lung Cancer":8%;"Blood Cancer":8%;"Nervous System Cancer":8%;"Colorectal Cancer":33%;"Pancreatic Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;
ASXL2	Yes	12	"Liver Cancer":16%;"Colorectal Cancer":33%;"Lung Cancer":8%;"Pancreatic Cancer":8%;"Skin Cancer":8%;"Blood Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;
